Organization;Account number;Country;City;C40;Reporting year;Accounting year;Primary protocol;Primary protocol comment;Total city-wide emissions;City location;Country location;Accounting year start;CDP Region;Reporting authority;Access;City-wide emissions inventory;Accounting year end;Duration;Administrative city boundary;Inventory boundary (compared to Administrative city boundary);Common Reporting Framework inventory format (GPC);Gases included;Scopes included;Scope 1 generation of grid supplied energy;Scope 1 excluding generation of grid supplied energy;Scope 2 generation of grid supplied energy;Scope 2 excluding generation of grid supplied energy;Scope 3 generation of grid supplied energy;Scope 3 excluding generation of grid supplied energy;Scope 1;Scope 2;Scope 3;TOTAL BASIC emissions (GPC);TOTAL BASIC+ emissions (GPC);Comment;Change in emissions;Primary reason for the change in emissions;Land area (in square km);Population;Population Year;Average altitude (m);Average annual temperature (in Celsius);City GDP;GDP currency;Year of GDP;GDP Source;Last update
Municipio de Chorrera;68385;Panama;Chorrera;;2019;;;;;POINT (-79.7736 8.88289);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;161470.0;2010.0;;;;;;;2020-05-01T03:57:57.217
City of Moab, UT;74560;United States of America;Moab;;2018;;;;;POINT (-109.54 38.57);;;North America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;In progress;;;;;;;;;;;;;;;;;;;;;;;5253.0;2017.0;;;;;;;2020-05-01T03:57:54.890
City of Basel-Stadt;31151;Switzerland;Basel;;2018;2014-01-01 - 2014-12-31;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (7.5928 47.5619);;2014-01-01;Europe;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2014-12-31;364 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;783932.0;;;825704.0;853823.0;;This is our first year of calculation;;;198988.0;2017.0;;;;;;;2020-05-01T03:57:54.890
City of Cupertino;64014;United States of America;Cupertino;;2018;2015-01-01 - 2015-12-31;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (-122.032 37.323);;2015-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2015-12-31;364 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;154415.0;54382.0;86200.0;244943.0;;;Decreased;Policy change;;60777.0;2017.0;;;;;;;2020-05-01T03:57:54.890
Wyndham City Council;68290;Australia;;;2019;2016-07-01 - 2017-06-30;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Global Protocol for Community-scale Greenhouse Gas Emissions Inventories (GPC).;;;;2016-07-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-06-30;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;1178612.51;2194812.42;231804.98;3402006.54;3605229.91;;;;;255322.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Mogale City Local Municipality;834202;South Africa;;;2019;;;;;;;;Africa;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;;;;;;;;;;;;;;;;;;;;;;;;383864.0;2016.0;;;;;;;2020-05-01T03:57:57.217
Pärnu City Government;60233;Estonia;Pärnu;;2019;;;;;POINT (24.4966 58.3858);;;Europe;CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities;public;;;;;;;;;;;;;;;;;;;;;;;;51272.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Municipality of Resistencia;834278;Argentina;;;2019;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.;;;;2014-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;;;;;;;;;;;;;This is our first year of calculation;Lack of knowledge overcome;;299123.0;2014.0;;;;;;;2020-05-01T03:57:57.217
Municipalidad de Miraflores;60399;Peru;Miraflores;;2018;;;;;POINT (-71.5366 -16.3994);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;No;;;;;;;;;;;;;;;;;;;;;;;85065.0;2007.0;;;;;;;2020-05-01T03:57:54.890
Kocaeli Metropolitan Municipality;838939;Turkey;;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;;;2016-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;18671586.0;4097512.0;;;;;This is our first year of calculation;;;1830772.0;2016.0;;;;;;;2020-05-01T03:57:57.217
City of Northampton, MA;58530;United States of America;Northampton;;2018;;;;;POINT (-72.6144 42.3048);;;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;In progress;;;;;;;;;;;;;;;;;;;;;;;28549.0;2010.0;;;;;;;2020-05-01T03:57:54.890
Municipalidad de Vicente López;55371;Argentina;Vicente López;;2018;;;;;POINT (-68.833 -32.8941);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Intending to undertake in future;;;;;;;;;;;;;;;;;;;;;;;270929.0;2010.0;;;;;;;2020-05-01T03:57:54.890
Prefeitura Municipal de Capivari;54670;Brazil;Capivari;;2019;;;;;;;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;48576.0;2010.0;;;;;;;2020-05-01T03:57:57.217
City of Fremont;54124;United States of America;Fremont;;2018;2015-01-01 - 2015-12-31;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (-121.989 37.5483);;2015-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2015-12-31;364 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;1097979.0;322205.0;18541.0;1438725.0;1447555.0;;Decreased;Technological change;;234962.0;2017.0;;;;;;;2020-05-01T03:57:54.890
Salliqueló;73788;Argentina;;;2019;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.;;;;2014-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;0.0;196305.01;0.0;7390.48;0.0;1133.59;;;;;;;This is our first year of calculation;Other;;8714.0;2010.0;;;;;;;2020-05-01T03:57:57.217
City of Greenbelt, MD;58591;United States of America;;;2019;2018-01-01 - 2018-12-31;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);Used Clear Path for 2018 emissions. Had been using CACP for previous years.;;;;2018-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-12-31;364 days;;Smaller – covers only part of the city;;CO2;;;;;;;;;;;;;;Decreased;Technological change;;23000.0;2010.0;;;;;;;2020-05-01T03:57:57.217
San Miguel;73713;Argentina;;;2019;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climático, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.;;;;2014-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;0.0;591101.55;0.0;165062.87;0.0;25318.11;;;;;;;This is our first year of calculation;Other;;276190.0;2010.0;;;;;;;2020-05-01T03:57:57.217
City of Hollywood, FL;54082;United States of America;Hollywood;;2019;2014-01-01 - 2014-12-31;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);;;POINT (-80.1495 26.0112);;2014-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;;;;;;;0.0;874200.85;159815.55;;;;This is our first year of calculation;;;149750.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Village of South Barrington, IL;74466;United States of America;South Barrington;;2019;;;;;POINT (42.0736 88.148);;;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;4565.0;2010.0;;;;;;;2020-05-01T03:57:57.217
Municipalidad de San Isidro (Argentina);60416;Argentina;San Isidro (Argentina);;2019;;;;;POINT (-68.8122 -32.9775);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;;;;;;;;;;;;;;;;;;;;;;;;293.0;2010.0;;;;;;;2020-05-01T03:57:57.217
City of Wisconsin Rapids;58867;United States of America;Wisconsin Rapids;;2018;;;;;POINT (-89.839 44.3603);;;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;18367.0;2010.0;;;;;;;2020-05-01T03:57:54.890
City of San José;35883;United States of America;San José, CA;;2019;2017-01-01 - 2017-12-31;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);The 2017 inventory update was produced by ICLEI and uses the approach and methods provided by the Global Protocol for Community Scale GHG inventories (GPC). It also draws methods from the U.S. Community Protocol, which provides more detailed methodology specific to U.S. communities.;;POINT (-121.886 37.3382);;2017-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;;4665342.0;;753640.0;;292684.0;;;;;;;Decreased;Policy change;;1046079.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City of Abidjan;36004;Côte d'Ivoire;Abidjan;;2019;;;;;POINT (-4.0083 5.36);;;Africa;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;4707404.0;2014.0;;;;;;;2020-05-01T03:57:57.217
City of Adelaide;32480;Australia;Adelaide;;2018;2016-07-01 - 2017-06-30;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (138.601 -34.9285);;2016-07-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-06-30;364 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;218901.0;373243.0;384007.0;537482.0;917405.0;;Decreased;Technological change;;23916.0;2017.0;;;;;;;2020-05-01T03:57:54.890
Prefeitura de Botucatu;60264;Brazil;Botucatu;;2019;;;;;POINT (-48.4441 -22.8852);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;144000.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Prefeitura Municipal de Cotriguaçu;830907;Brazil;Cotriguaçu;;2018;;;;;POINT (-58.5544 -9.86825);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;No;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;2020-05-01T03:57:54.890
City of Nakuru;60140;Kenya;Nakuru;;2018;;;;;POINT (36.08 -0.30309);;;Africa;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Intending to undertake in future;;;;;;;;;;;;;;;;;;;;;;;2038945.0;2017.0;;;;;;;2020-05-01T03:57:54.890
City of Urbana, IL;59562;United States of America;;;2019;2017-01-01 - 2017-12-31;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);;;;;2017-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;;;;;;;;;;;;;;;;Decreased;Technological change;;41250.0;2010.0;;;;;;;2020-05-01T03:57:57.217
City of Park City, UT;14344;United States of America;Park City;;2018;2016-01-01 - 2016-12-31;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (-111.498 40.6461);;2016-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2016-12-31;365 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;6309.564007999999;9245.483051000001;515.1576;15555.047059999999;16070.20466;;This is our first year of calculation;Previous data was not reliable;;7873.0;2012.0;;;;;;;2020-05-01T03:57:54.890
Prefeitura de Pirenópolis;60328;Brazil;Pirenópolis;;2018;;;;;POINT (-48.9595 -15.8545);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Intending to undertake in future;;;;;;;;;;;;;;;;;;;;;;;24605.0;2016.0;;;;;;;2020-05-01T03:57:54.890
La Paz;840036;Argentina;;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;;;2016-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;;;CH4, CO2, N20;;;;;;;;;;;;;;Do not know;Lack of documentation;;2588.0;21.0;;;;;;;2020-05-01T03:57:57.217
Hat Siao Sub-District Municipality;834163;Thailand;;;2019;2018-09-01 - 2023-07-15;International Standard for Determining Greenhouse Gas Emissions for Cities (UNEP and World Bank);ใช้;;;;2018-09-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2023-07-15;1778 days;;Same – covers entire city and nothing else;;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;;;;;;;;;;6761.0;2019.0;;;;;;;2020-05-01T03:57:57.217
City of Evanston, IL;59678;United States of America;Evanston;;2019;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-87.6898 42.0669);;2018-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-12-31;364 days;;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;;524034.0;;415356.0;;20288.0;;;;;;;Increased;Increased energy/electricity consumption;;75603.0;2015.0;;;;;;;2020-05-01T03:57:57.217
Municipalidad de Magdalena del Mar;43975;Peru;Magdalena del Mar;;2018;;;;;POINT (-77.067 -12.0917);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;;;;;;;;;;;;;;;;;;;;;;;;59497.0;2017.0;;;;;;;2020-05-01T03:57:54.890
Llambi Campbell;73806;Argentina;;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;;;2016-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;;26041.42;;1464.43;;237.77;;;;;;;;;;2523.0;2010.0;;;;;;;2020-05-01T03:57:57.217
Municipality of Olavarría;834260;Argentina;;;2019;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.;;;;2014-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;0.0;3009734.85;0.0;299642.93;0.0;45960.63;;;;;;;This is our first year of calculation;Other;;111708.0;2010.0;;;;;;;2020-05-01T03:57:57.217
City of Eugene;54070;United States of America;Eugene;;2019;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-123.087 44.0519);;2017-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20, PFCs, SF6;;;;;;;;912080.0;725157.0;76972.0;1641401.0;1714208.0;;Increased;Change in weather conditions;;165885.0;2016.0;;;;;;;2020-05-01T03:57:57.217
Alcaldia de Montería;54608;Colombia;Montería;;2018;2012-01-01 - 2012-12-31;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (-75.8814 8.74798);;2012-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2012-12-31;365 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;827.954;75.78399999999999;39.631;903.738;943.3689999999999;;Decreased;Technological change;;441301.0;2015.0;;;;;;;2020-05-01T03:57:54.890
Aipromades Lago de Chapala;826209;Mexico;Chapala;;2019;2018-01-01 - 2018-12-31;2006 IPCC Guidelines for National Greenhouse Gas Inventories;;;POINT (-103.191 20.2962);;2018-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;;;;;;;;;;;;;;;;601263.0;2015.0;;;;;;;2020-05-01T03:57:57.217
City of Mannheim;43926;Germany;Mannheim;;2018;2012-01-01 - 2012-12-31;;;;POINT (8.46603 49.4875);;2012-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2012-12-31;365 days;;Administrative boundary of a local government;;;;;;;;;;;;;;;;;;;312722.0;2015.0;;;;;;;2020-05-01T03:57:54.890
Prefeitura Municipal de Boa Vista;54706;Brazil;Boa Vista;;2018;;;;;POINT (-60.6779 2.83067);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;326414.0;2016.0;;;;;;;2020-05-01T03:57:54.890
Godoy Cruz;73671;Argentina;;;2019;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.;;;;2014-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;0.0;308774.07;0.0;135021.31;0.0;114642.45;;;;;;;This is our first year of calculation;Other;;191903.0;2010.0;;;;;;;2020-05-01T03:57:57.217
Metropolitan Government of Nashville and Davidson County;49335;United States of America;Nashville;;2019;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-86.7816 36.1627);;2014-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;6680198.0;5801169.0;979925.0;13461292.0;13461292.0;;Increased;Improved data accuracy;;667560.0;2017.0;;;;;;;2020-05-01T03:57:57.217
